8;Donation;;;;;;IT;N
9;I.D.A.;;;;;;ID;N
17;Inventory;;;;;;IN;N
19;PFSA;;;;;;PH;N
22;Pharma Union;;;;;;UN;N
23;Drug Shops;;;;;;DS;N
25;YUSRA PHARMACEUTICALS;;;;;;YP;N
26;Ramada;;;;;;RA;N
27;Valdes;;;;;;VA;N
29;Labora International trading;;;;;;;N
30;Pharma Share company;;;;;;SH;N
31;Chora gas & chemicals;;;;;;CH;N
32;Prostethics orthotics centre;;;;;;PO;N
33;Health Center;;;;;;HC;N
34;Oromia state;;;;;;OR;N
39;Pharma Success;;;;;;SC;N
40;Vital Pharmaceuticals;;;;;;;N
41;Paster;;;;;;PA;N
42;National Alcohol;;;;;;AL;N
43;Ethiopian Red Cross;;;;;;RC;N
51;Ture pharmaceuticals & medical supplies PLC;;;;;;Tr;N
52;sundrji keld.;;;;;;;N
53;DKT ethiopia;;;;;;;N
54;Mesroy Internatioal;;;;;;;N
55;Eye drops production unit;;;;;;;N
56;CBM;;;;;;;N
58;Nesiya;;;;;;;N
60;ViSSIOn;;;;;;;N
62;Ward;;;;;;;N
70;Agimas;;;;;;;N
71;ZAF pharmaceuticals;;;;;;;N
72;Unversal investor;;;;;;;N
73;jodave pharmaceuticals;;;;;;;N
74;physiotherapy;;;;;;;N
